latency,average,timestamp,callback_time
8663296,22.520488,1743572637265252096,1743572637273915392
9705472,22.524807,1743572637325445120,1743572637335150592
9008384,22.526736,1743572637389548544,1743572637398556928
11318528,22.533304,1743572637453193472,1743572637464512000
9366784,22.530505,1743572637516171776,1743572637525538560
8037632,22.521288,1743572637577966848,1743572637586004480
8299520,22.517463,1743572637641419008,1743572637649718528
9072128,22.516312,1743572637704710912,1743572637713783040
10242304,22.518795,1743572637768532480,1743572637778774784
11964160,22.510800,1743572637831178240,1743572637843142400
11570432,22.501788,1743572637893546752,1743572637905117184
10128896,22.506704,1743572637956890624,1743572637967019520
11132672,22.501656,1743572638019953408,1743572638031086080
8787200,22.492676,1743572638082427904,1743572638091215104
11719680,22.502044,1743572638145823488,1743572638157543168
9441536,22.511480,1743572638206145280,1743572638215586816
10507008,22.506081,1743572638267389184,1743572638277896192
10727168,22.511973,1743572638329202432,1743572638339929600
8723968,22.514958,1743572638392011264,1743572638400735232
12714496,22.504780,1743572638455551744,1743572638468266240
8377600,22.506696,1743572638516544768,1743572638524922368
9742592,22.518656,1743572638580445184,1743572638590187776
11272192,22.514090,1743572638641715200,1743572638652987392
9386496,22.510550,1743572638705475072,1743572638714861568
13085952,22.507782,1743572638767299328,1743572638780385280
8108032,22.511548,1743572638830110976,1743572638838219008
11363840,22.512988,1743572638893306880,1743572638904670720
10592768,22.503089,1743572638954076160,1743572638964668928
9239808,22.511610,1743572639016689408,1743572639025929216
10116864,22.513298,1743572639079804160,1743572639089921024
10058240,22.520285,1743572639143963648,1743572639154021888
9335552,22.526746,1743572639206245120,1743572639215580672
9703168,22.519377,1743572639267934208,1743572639277637376
9488128,22.522613,1743572639329821696,1743572639339309824
8881664,22.518013,1743572639393504256,1743572639402385920
9955328,22.521000,1743572639456461056,1743572639466416384
8953600,22.530944,1743572639519532288,1743572639528485888
9501952,22.530000,1743572639583598592,1743572639593100544
8831488,22.534352,1743572639645689600,1743572639654521088
8950016,22.537185,1743572639707494400,1743572639716444416
8945152,22.539673,1743572639769210880,1743572639778156032
9590784,22.533284,1743572639833065472,1743572639842656256
9613568,22.537098,1743572639896883200,1743572639906496768
12150784,22.548104,1743572639960217088,1743572639972367872
9342208,22.548583,1743572640022246400,1743572640031588608
8795904,22.549134,1743572640083327488,1743572640092123392
12284416,22.549078,1743572640144380160,1743572640156664576
8845824,22.551783,1743572640205939456,1743572640214785280
12366848,22.559084,1743572640268567296,1743572640280934144
10945024,22.556856,1743572640331950592,1743572640342895616
9920000,22.546766,1743572640393927680,1743572640403847680
10207488,22.545618,1743572640455515136,1743572640465722624
9005056,22.543538,1743572640517517568,1743572640526522624
10406912,22.535706,1743572640579758080,1743572640590164992
11226368,22.543353,1743572640641612032,1743572640652838400
11452416,22.532158,1743572640704372992,1743572640715825408
10080512,22.517906,1743572640767841536,1743572640777922048
11348224,22.516959,1743572640830102528,1743572640841450752
8185856,22.507525,1743572640892644608,1743572640900830464
11087360,22.507787,1743572640955528960,1743572640966616320
9566464,22.515716,1743572641018588416,1743572641028154880
8529152,22.512010,1743572641081555200,1743572641090084352
11139840,22.504190,1743572641145292800,1743572641156432640
11548672,22.505537,1743572641207622912,1743572641219171584
9050624,22.504609,1743572641270385920,1743572641279436544
9695744,22.507719,1743572641332454400,1743572641342150144
9161216,22.498407,1743572641395811584,1743572641404972800
10183168,22.493299,1743572641457819136,1743572641468002304
17388544,22.496716,1743572641520523008,1743572641537911552
8479488,22.495291,1743572641582214656,1743572641590694144
9711616,22.493771,1743572641643251456,1743572641652963072
12148224,22.498669,1743572641704368384,1743572641716516608
11250688,22.504114,1743572641764859392,1743572641776110080
11058944,22.498910,1743572641828109312,1743572641839168256
8019456,22.506499,1743572641890398464,1743572641898417920
9316352,22.506688,1743572641951401472,1743572641960717824
9520128,22.500602,1743572642014394880,1743572642023915008
8766976,22.495394,1743572642076882688,1743572642085649664
11676416,22.491467,1743572642140595456,1743572642152271872
9354752,22.486721,1743572642203265792,1743572642212620544
